buitres
desgracia
robarle
roben
sobrevivió
sospechosa
sospechoso
atrapadas
desaparecida
maldad
médico
fallecimiento
drogas
bomba
delictiva
detenidas
sustraído
muertos
emergencias
victimas
rescatistas
enfermedad
agresor
patadas
urgencia
muerte
peligro
sufrido
deslave
obstruye
quema
