fallecido
herida
choque
herido
fuego
quemando
víctima
secuestro
asesinato
siniestro
bomberosmantaec
heridos
amtquito
arma
salud
delincuentes
bomberosgye
bomberoscuenca
delito
extinción
ladrón
afectada
agentes
golpes
controlado
vehicular
fallecida
seguridad
víctimas
terrible
quemaron
sufre
