operativos
crí­menes
trágico
neumonia
atrocidad
modus
arresto
cómplice
tiros
municiones
pánico
agresión
bárbaros
estrelló
explotó
reportada
robada
robado
sicarios
choques
medicamentos
tráfico
borracho
salvajada
traumas
injusticia
discriminación
sospechos
cuchilla
infringiendo
sustraer
