volcánica
georiesgos
volcan
dispararon
envenenó
escapar
abandonó
accidentada
agredido
apedreada
apedreado
asesinada
asesinados
asesinadas
atrapado
atrapados
desnucaron
destruidos
destruidas
discapacitado
discapacitada
golpear
implicado
incendiaron
mataron
mató
muera
perdido
perdida
prevenir
