asesinaron
asfixiada
asfixiado
atropellada
capturada
controlada
chocaron
decapitada
decapitado
fugarse
fallecidos
asaltan
afectadas
violencia
abuso
asistencia
fraude
robo
violenta
asesinado
sufrieron
impactado
sicariato
criminal
deslizamiento
hospitales
medicinas
irresponsable
quemaduras
conducir
ahorcados
