detener
atropellamiento
riesgos
justicia
médica
aislamiento
sanitarios
dificultad
sufriendo
bioseguridad
sanitaria
auxilios
detenciones
detuvo
motín
penitenciaria
corrupción
perdido
cadáver
tragedia
delictivos
hematomas
laceraciones
explosion
bandas
criminalística
sobredosis
disparo
crimen
saqueos
protestan
