ambulancias
atraco
balas
balazo
balazos
denuncias
disparos
enfrentamiento
homicidio
impactos
maltrato
mortales
peligrosa
prisión
quemado
terrible
uniformados
veneno
dolencias
congestión
enferma
ataques
allanamientos
pistolas
tiro
plomo
fractura
vándalos
trágica
horror
procesado
