sospechosos
lesiones
murió
asaltante
cuchillo
ladron
mueren
fallecieron
robo
cadáveres
fallecer
fugaron
accidentado
acribillaron
afectado
agrede
agredida
agredió
ahorcó
implicada
problema
enfermo
delitos
abastecimiento
amenazas
llama
combustible
asaltantes
sofocar
armas
trasladada
