delincuencia
fuga
reportado
reportaron
asaltando
extracción
acudieron
transito
bloqueo
volcamiento
accidentó
accidentes
evidencia
combate
causas
sector
incendió
movilizaban
denunciar
bombero
sangre
dolor
victima
muere
atropellado
impactó
robar
provocado
capturado
asaltó
secuestrado
