horrible
graves
privación
sentencia
gravemente
plagio
delinquiendo
inflamables
bárbaro
espeluznante
odio
autobomba
terrorismo
cenizas
contaminación
higiene
incendios
traficante
allanamiento
cocaína
decomisaron
mafioso
ambiente
eruptiva
geofí­sico
heridas
hurtar
impactada
perversa
venganza
fugados
